,component1,component2,name
0,3.310065,2.2178643,National University of Singapore
1,3.6661427,5.362456,University of Leeds
2,2.8046765,6.0220995,University of Texas at Austin
3,0.52526224,6.5892806,Sciences Po
4,0.1468731,7.7807236,University of Calgary
5,1.4795827,6.723455,University of Helsinki
6,1.9089767,6.346014,University of Amsterdam
7,3.9800687,7.0324144,University of Wisconsin-Madison
8,2.1607406,3.2770555,University of British Columbia
9,2.6946847,6.217177,University of Nottingham
10,3.673134,8.609242,"California State University, Fullerton"
11,1.8497092,7.952195,Arizona State University
12,2.0403655,4.970656,University at Buffalo
13,1.5200635,7.4537973,Uppsala University
14,1.2975898,6.99022,Kingâ€™s College London
15,3.6198094,6.8063445,Venice International University
16,2.5592167,8.791836,Eberhard Karls Universitt Tuebingen
17,3.4581187,6.3819346,University of Birmingham
18,3.0501883,7.477101,University of Melbourne
19,2.6890447,4.539582,University of Glasgow
20,3.4697165,8.337534,Chapman University
21,3.1606705,5.9033704,University of Illinois at Urbana-Champaign
22,3.2257228,4.259401,University of Connecticut
23,2.4932015,3.6872442,The University of Sydney
24,1.0489337,7.4012523,University of Hawaii at Manoa
25,1.4676208,5.774788,University of Sussex
26,3.415711,3.6844451,Simon Fraser University
27,1.2974813,6.9904704,"SOAS, University of London"
28,3.8919919,5.4933248,Mcgill University
29,2.338984,6.5027122,Universidad de Navarra
30,3.0701923,7.3872643,Monash University
31,3.8396032,6.411451,University of Tours
32,2.5068338,7.2376347,University of Mannheim
33,0.9163849,5.9459004,Erasmus University Rotterdam
34,0.6057894,5.862428,The University of Sheffield
35,3.8516953,5.3146605,University of Maryland
36,0.38615608,6.7724075,University of Kent
37,3.0174842,3.4158337,The University of Hong Kong
38,0.43542683,8.669238,Universidad de Lima
39,1.2163815,5.191954,University of Pittsburgh
40,2.486501,2.7072096,Waseda University
41,2.0893908,7.33636,Lund University
42,3.4568574,6.990402,Leiden University
43,2.6671817,6.661461,University of Queensland
44,0.13945003,7.2387047,University of Copenhagen
45,2.5012553,2.3154957,National Taiwan University
46,1.9887688,5.0529933,Victoria University of Wellington
47,1.1526091,7.7979774,Renmin University
48,0.12517582,7.969779,University of Warsaw
49,0.054867186,6.192185,Tec de Monterrey
50,2.896531,8.781297,Witten/Herdecke University
51,3.0863745,9.16916,University of Regensburg
52,3.3056393,2.215852,Nanyang Technological University
53,1.4157717,7.683731,Universidad Autonoma de Madrid
54,1.0265348,8.111043,Charles University
55,4.044548,6.1608067,University of Kansas
56,3.6649408,7.005656,University of Gothenburg
57,3.4454248,6.389704,Aston University
58,3.8144703,6.055555,Queen's College
59,3.555527,5.6549516,University of Cincinnati
60,1.739886,6.2168894,Bonn University
61,2.9519284,7.368569,Halmstad University
62,3.0946145,8.741823,Freie Universitaet Berlin
63,1.5424725,4.737304,University of North Carolina at Chapel Hill
64,1.0238742,5.25316,Universita Cattolica del Sacro Cuore
65,2.4856925,2.930165,Meiji University
66,2.4905505,4.307431,Universidad de Deusto
67,1.8817023,6.5049286,Vrije Universiteit Amsterdam
68,2.9552002,4.842775,University of Missouri Columbia
69,2.9261591,3.7041855,University of Mississippi (ISEP)
70,2.2696393,4.5048513,University of Massachusetts Boston (UMass Boston)
71,1.7753844,3.7445066,University of Agder (Universitetet i Agder)
72,-0.056878347,5.686635,Universidad Panamericana Campus Guadalajara
73,-0.047790345,5.690539,Universidad de Guadalajara
74,3.0171914,3.4159472,The Chinese University of HongKong
75,1.3149066,9.431005,Technical University of Munich 
76,3.8362935,7.638703,Shandong University
77,0.8045884,5.5839434,Salzburg University of Applied Sciences
78,-0.052443016,6.880075,saint-petersburg university
79,2.9644005,8.677753,Otto-Friedrich-Universitt Bamberg
80,1.0703627,8.544887,Georg-August-Universitt Gttingen
81,2.0540652,3.0231144,Doshisha University
82,3.7273796,7.513371,Moscow State University
83,3.0170946,3.4162722,City University of HongKong
84,1.718964,10.177996,Nagoya University
85,-0.08240848,6.009534,Universidad de Colima
86,2.5131283,2.9166875,Seikei University
87,2.5144498,2.9167216,Hitotsubashi University
88,1.7170575,8.250747,California State University
89,0.91970444,4.368859,University of Zurich
90,1.1497436,7.807684,Peking University
91,1.6898278,10.126588,Ochanomizu University
